result,object,exe_time,cycle
2,2,-96,-104
8,2,100,-119
8,1,96,-100
8,2,100,-132
8,2,99,-99
8,2,99,-105
8,1,100,-119
8,1,104,-104
8,1,99,-126
8,2,96,-98
8,1,97,-113
8,1,97,-120
8,1,101,-101
8,1,101,-139
8,1,82,-83
8,1,82,-84
8,1,81,-89
8,1,81,-81
8,1,81,-97
8,1,83,-93
8,1,79,-95
8,2,82,-98
8,2,85,-93
8,2,78,-79
8,2,79,-101
8,2,81,-95
8,2,86,-101
8,2,84,-87
8,2,87,-88
8,2,84,-101
8,3,82,-93
8,3,85,-89
8,3,84,-102
8,3,83,-84
8,3,88,-88
8,2,86,-103
8,2,91,-132
8,3,87,-126
8,3,85,-88
8,2,90,-110
8,2,84,-92
8,2,87,-90
8,2,87,-97
8,2,84,-95
8,2,90,-99
8,3,86,-130
8,3,87,-88
8,3,87,-89
4,2,86,-94
4,2,88,-96
4,2,90,-109
4,2,85,-86
8,2,91,-107
8,1,87,-131
8,1,92,-98
8,1,86,-89
8,1,83,-89
8,1,84,-87
8,1,89,-89
8,1,84,-86
8,1,85,-117
8,1,87,-118
8,1,85,-86
8,1,90,-107
8,1,89,-132
8,1,89,-97
8,1,84,-89
8,1,86,-87
8,1,84,-136
4,1,83,-89
4,2,85,-123
8,2,85,-140
8,2,83,-95
8,2,84,-95
8,2,84,-85
8,2,87,-119
8,2,85,-85
8,2,87,-89
8,2,85,-103
8,2,85,-88
8,2,82,-82
8,2,83,-121
8,2,88,-90
8,2,85,-86
8,2,86,-96
8,2,88,-90
8,1,87,-95
8,1,86,-97
8,1,85,-90
8,1,86,-109
8,1,90,-93
4,1,83,-83
8,1,81,-91
8,1,99,-100
8,1,97,-168
8,1,100,-143
8,1,98,-123
8,1,96,-114
8,1,100,-106
8,2,100,-114
8,2,99,-103
8,2,96,-96
8,2,103,-155
8,2,97,-98
4,2,102,-167
4,2,96,-110
4,2,96,-109
8,2,97,-98
8,2,98,-99
8,2,95,-97
8,2,97,-136
8,2,100,-118
8,2,100,-114
8,2,96,-103
8,1,97,-100
8,1,101,-136
8,1,99,-100
8,1,102,-140
8,1,103,-104
8,1,105,-139
8,1,101,-145
8,1,98,-157
8,1,101,-106
8,1,99,-112
8,2,101,-588
8,2,102,-102
8,2,100,-105
8,2,101,-102
8,1,99,-112
8,1,96,-126
8,2,101,-110
8,2,98,-98
8,1,101,-117
8,1,98,-114
8,1,98,-136
8,1,100,-142
8,2,99,-137
8,1,99,-106
8,1,98,-113
8,1,101,-101
8,1,103,-105
8,1,98,-104
8,1,100,-100
8,1,98,-129
8,1,98,-99
8,1,101,-120
8,1,96,-98
8,2,96,-111
8,1,85,-85
8,1,84,-85
8,1,82,-105
8,1,79,-82
8,1,80,-123
8,1,83,-109
8,1,84,-96
8,1,86,-87
8,1,82,-98
8,1,85,-85
8,1,82,-101
8,1,85,-97
8,1,80,-91
8,1,83,-98
8,1,86,-96
8,1,83,-96
8,1,82,-88
8,1,76,-85
8,1,82,-104
8,1,77,-79
8,1,80,-101
8,1,81,-97
8,1,78,-92
8,1,81,-99
8,1,76,-96
8,1,80,-114
8,1,79,-92
8,1,80,-96
8,1,83,-105
8,1,84,-86
8,1,79,-92
8,1,87,-88
8,1,84,-111
8,1,81,-90
8,1,79,-91
8,1,80,-109
8,1,80,-96
8,1,81,-99
8,1,79,-88
8,1,84,-84
8,1,79,-85
8,1,83,-99
8,1,84,-97
8,1,84,-85
8,1,76,-99
8,1,76,-84
8,1,77,-95
8,1,78,-99
8,1,79,-84
8,1,78,-78
8,1,77,-113
8,1,78,-96
8,1,78,-78
8,1,77,-78
8,1,77,-84
8,1,79,-80
8,1,79,-87
8,1,80,-81
8,1,78,-96
8,1,87,-111
8,1,86,-90
8,1,83,-83
8,1,84,-100
8,1,86,-95
8,1,82,-91
8,1,85,-91
8,1,81,-89
8,1,82,-83
8,1,81,-111
8,1,78,-78
8,1,82,-99
8,1,83,-84
8,1,82,-85
8,1,86,-89
8,1,85,-96
8,1,81,-81
8,1,81,-100
8,1,80,-99
8,1,79,-92
8,1,81,-84
8,1,84,-96
8,1,83,-101
8,1,85,-101
8,1,84,-85
8,1,86,-87
8,1,85,-109
8,1,80,-90
8,1,82,-98
8,2,86,-118
8,2,85,-87
8,1,82,-98
8,2,84,-94
8,2,86,-109
8,2,86,-99
8,1,85,-109
8,1,85,-103
8,2,84,-92
8,2,81,-117
8,2,85,-105
8,1,87,-93
8,1,84,-92
8,1,83,-83
8,1,83,-108
8,1,87,-93
8,1,83,-102
8,1,83,-95
4,1,84,-91
8,1,84,-84
8,1,82,-101
8,1,85,-98
8,2,83,-93
8,2,82,-90
8,2,84,-85
8,2,85,-109
8,2,82,-93
8,2,101,-117
8,2,95,-107
8,2,98,-134
8,3,95,-102
8,3,100,-118
8,3,99,-106
8,3,101,-116
8,2,99,-126
8,2,100,-100
8,2,97,-101
8,3,97,-122
8,2,101,-113
8,2,97,-123
8,2,103,-108
8,2,107,-134
8,2,105,-116
8,2,104,-105
8,3,102,-135
8,3,103,-116
4,2,100,-108
4,2,98,-107
8,1,106,-126
8,1,104,-105
8,1,103,-128
8,1,101,-121
8,1,102,-123
8,1,105,-111
8,1,102,-120
8,1,101,-116
8,1,97,-104
8,1,98,-117
8,1,97,-135
8,1,99,-101
8,1,99,-133
8,1,100,-138
8,1,97,-112
8,1,100,-104
4,1,98,-105
4,1,100,-101
4,2,96,-130
8,2,101,-135
8,2,101,-131
8,2,102,-118
8,2,104,-134
8,2,99,-105
8,2,99,-129
8,1,97,-121
8,1,96,-97
8,2,98,-132
8,2,92,-113
8,2,99,-100
8,2,100,-119
8,1,96,-130
8,1,96,-99
8,1,97,-140
4,1,99,-127
8,1,98,-114
8,1,99,-104
8,1,97,-115
8,1,100,-109
8,1,98,-145
8,1,100,-119
8,1,99,-102
8,1,99,-108
8,2,97,-131
8,2,98,-116
8,2,98,-103
8,2,99,-120
4,2,101,-102
4,2,99,-100
4,2,100,-127
4,2,101,-133
8,2,100,-101
8,2,96,-135
8,2,99,-109
8,2,103,-112
8,2,104,-126
8,2,102,-106
8,1,99,-153
8,1,103,-123
8,1,100,-106
8,1,97,-117
8,1,103,-110
8,1,95,-102
8,1,95,-105
